Ind,phenotype
A158,5.567
A188,8.283
A340,8.385
A654,8.881
B103,9.374
B111,9.856
CO125,7.075
D06,7.475
EC130,8.476
EC133A,9.012
EC326A,9.753
EP28,6.255
EZ46,9.674
EZ5,7.258
EZ53,9.516
F496,7.759
F584,8.671
F604,8.699
F670,7.48
F7038,7.933
F7059,6.528
LH146Ht,8.218
LH85,8.083
NKH8431,8.228
W182B,8.378
W33,7.851
YUBC1a,8.089
